,Year,DOY,BWE,BWEsd,StovBWE,Ht,ht_sd,TotBWE
1,2021,217,5.693950478,1.740726503,0,277.4654167,25.13911491,5.693950478
2,2021,231,5.598821078,1.654407377,0,280.3122896,19.89453941,5.598821078
3,2021,246,4.517841581,1.744659318,0,276.1452507,23.70272187,4.517841581
4,2021,260,3.564267493,1.511285425,0,273.7842026,24.17117722,3.564267493
5,2021,288,2.137863558,0.934682317,0,273.7736206,15.69503807,2.137863558
6,2021,302,1.143936349,0.934682317,0,273.7683296,11.4569685,1.143936349
7,2021,316,0,0,0.489478528,20,0,0.489478528
8,2021,337,0,0,0.45791411,20,0,0.45791411
9,2022,84,0,0,0.289570552,20,0,0.289570552
10,2022,105,0,0,0.258006135,20,0,0.258006135
11,2022,138,0,0,0.208404908,20,0,0.208404908
12,2022,147,0,0,0.194877301,20,0,0.194877301
13,2022,215,1.453954678,0.288797965,0.092668712,60.9375,1.428519868,1.54662339
14,2022,229,1.775496683,0.226832169,0.071625767,69.39583333,4.472956034,1.84712245
15,2022,243,2.038734252,0.528369837,0.050582822,66.66666667,3.669695719,2.089317074
16,2022,260,1.140494214,0.293752157,0.025030675,63.94871795,3.860074765,1.165524889
17,2022,278,0,0,0,0,0,0
18,2022,295,0,0,0,0,0,0
19,2023,135,0.150736647,1.093568966,0,12.3057971,1.26546149,0.150736647
20,2023,159,0.667548006,1.093568966,0,71.9969697,8.589319415,0.667548006
21,2023,172,1.942916692,0.697493282,0,133.516129,12.56415793,1.942916692
22,2023,191,3.769085211,1.139452439,0,191.8423645,22.53994462,3.769085211
23,2023,205,5.06968631,1.613280799,0,230.6493197,21.37586977,5.06968631
24,2023,221,4.807135784,1.447329979,0,228.7185185,20.5363284,4.807135784
25,2023,240,3.205354296,1.151329639,0,229.1496296,22.19439628,3.205354296
26,2023,264,1.558921398,1.093568966,0,229.1438424,19.77815104,1.558921398
27,2023,296,0,0,0.492484663,20,0,0.492484663
